,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
58,59.0,2022-10-12 20:05:30,False,True,True,True,1,True,10244.18364,False,88.45821188360999,0.2404683995313398,88.92952994669142,87.98689382052856,0.1119849729628555,0.1201474744897959,0.001958542102347,True,226.894355030555,195.1822640554945,258.6064460056155,pass_all,31.712090975060505,62.15569831111859,False
60,61.0,2022-10-12 20:28:51,False,True,True,True,0,True,10073.81772,False,59.82312628502999,6.756587516970654,73.06603781829247,46.58021475176752,7.193134755532822,0.0812541581632652,0.001958542102347,True,56.6639575216908,36.144477011886295,77.1834380314953,pass_all,20.519480509804502,40.21818179921682,True
61,62.0,2022-10-12 20:40:41,False,True,True,True,0,True,10139.18631,False,50.36949003963,9.404355460463345,68.80202674213815,31.93695333712185,10.013464364649314,0.0684138520408162,0.001958542102347,True,85.9753937635251,64.57752097797501,107.3732665490752,pass_all,21.397872785550092,41.93983065967818,True
62,63.0,2022-10-12 20:52:27,False,True,True,True,1,True,10112.17242,False,95.39833484214,0.2694825587476425,95.92652065728538,94.87014902699462,0.1437729905564996,0.1295738265306122,0.001958542102347,True,84.2401382975427,64.5594084363209,103.9208681587645,pass_all,19.680729861221806,38.57423052799474,True
64,65.0,2022-10-12 21:15:40,False,True,True,True,1,True,10340.12381,False,193.8711017268,9.09003604422648,211.6875723734839,176.05463108011608,9.666450208244733,0.2633234693877551,0.001958542102347,True,143.2999261853,104.9370684325477,181.66278393805229,pass_all,38.36285775275229,75.19120119539448,True
66,67.0,2022-10-28 18:03:25,False,True,True,True,1,True,10257.31131,False,591.222103332075,5.127130768433358,601.2712796382044,581.1729270259456,5.261642397450061,0.7935543367346939,0.0013617132208482,True,551.591554768712,417.2878678071139,685.89524173031,pass_all,134.30368696159803,263.2352264447321,True
67,68.0,2022-10-28 18:15:20,False,True,True,True,1,True,10126.16547,False,493.721951757075,2.7541361861487275,499.1200586819265,488.3238448322235,2.72142005054814,0.6626869897959183,0.0013617132208482,True,394.330801067767,300.06796972723714,488.5936324082969,pass_all,94.26283134052989,184.75514942743857,True
69,70.0,2022-10-28 18:39:43,False,True,True,True,0,True,10007.93631,False,778.4434908800998,7.054246274316967,792.269813577761,764.6171681824386,7.2549813274065,1.0448479591836737,0.0013617132208482,True,543.774241183291,465.1996438920358,622.3488384745463,pass_all,78.57459729125526,154.0062106908603,False
70,71.0,2022-10-28 19:31:19,False,True,True,True,1,True,10228.76964,False,58.680095610802496,0.1344629329985144,58.94364295947958,58.41654826212541,0.0773850044598712,0.0787620153061224,0.0013617132208482,True,91.55675146,61.91510285,121.19840007,pass_all,29.641648610000004,58.09763127560001,True
71,72.0,2022-10-28 19:43:20,False,True,True,True,0,True,10113.97797,False,479.372894362125,4.123956840902991,487.4558497702949,471.28993895395513,4.230389019255482,0.6434272959183676,0.0013617132208482,True,624.868869029915,413.449681866717,836.288056193113,pass_all,211.419187163198,414.381606839868,True
