,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,operator_error_bound,operator_95CI_bounds,intersect_parity_line
167,168.0,2022-11-07 20:26:30,False,True,True,True,0,True,6730.436307,False,15.939993957585,0.0514070569453366,16.04075178919786,15.83923612597214,0.0144641334552113,0.021394025510204,0.0026930537344558,True,16.0,13.0,19.0,pass_all,3.0,5.88,True
168,169.0,2022-11-07 20:31:18,False,True,True,True,0,True,6700.95714,False,15.8643220852125,0.0514991119767797,15.965260344686987,15.763383825738012,0.0156663458796341,0.0212924617346938,0.0026930537344558,True,12.0,9.0,14.0,pass_all,2.0,3.92,True
169,170.0,2022-11-07 20:35:46,False,True,True,True,0,True,6729.047418,False,31.1087688846525,0.0989343662650134,31.302680242531924,30.914857526773073,0.0221271430217522,0.0417529515306122,0.0026930537344558,True,44.0,35.0,52.0,pass_all,8.0,15.68,True
170,171.0,2022-11-07 20:40:53,False,True,True,True,0,True,6696.662268,False,31.14980652051,0.0988436871914104,31.34354014740516,30.95607289361483,0.0210340988050913,0.0418080306122448,0.0026930537344558,True,22.0,18.0,26.0,pass_all,4.0,7.84,False
176,177.0,2022-11-07 21:07:06,False,True,True,True,0,True,6688.76964,False,14.265998256630002,0.0465062487862941,14.35715050425114,14.174846009008863,0.0147843816811833,0.0191472551020407,0.0026930537344558,True,15.0,12.0,18.0,pass_all,3.0,5.88,True
177,178.0,2022-11-07 21:10:55,False,True,True,True,0,True,6623.76964,False,14.2112072822025,0.0455208324394249,14.300428113783772,14.121986450621227,0.0116125818965932,0.0190737168367346,0.0026930537344558,True,16.0,13.0,20.0,pass_all,4.0,7.84,True
178,179.0,2022-11-07 21:15:40,False,True,True,True,0,True,6723.977972999999,False,14.17040913234,0.0451741761545773,14.25895051760297,14.081867747077029,0.0106029204803141,0.0190189591836734,0.0026930537344558,True,24.0,19.0,29.0,pass_all,5.0,9.8,False
181,182.0,2022-11-07 21:27:58,False,True,True,True,0,True,6628.214083999999,False,20.20734928611,0.0634421750383538,20.33169594918517,20.083002623034822,0.0095002735375428,0.0271214999999999,0.0026930537344558,True,39.0,31.0,46.0,pass_all,7.0,13.719999999999999,False
182,183.0,2022-11-07 21:32:18,False,True,True,True,0,True,6635.436307,False,20.2304938969125,0.0646475324379348,20.35720306049085,20.103784733334148,0.0158492365212048,0.0271525637755101,0.0026930537344558,True,23.0,18.0,28.0,pass_all,5.0,9.8,True
187,188.0,2022-11-07 21:52:58,False,True,True,True,0,True,6684.186307,False,28.785863072055,0.0905983661164473,28.96343586964324,28.608290274466764,0.0150971692037316,0.0386352397959183,0.0026930537344558,True,17.0,14.0,21.0,pass_all,4.0,7.84,False
188,189.0,2022-11-07 21:57:30,False,True,True,True,0,True,6786.061307,False,28.880978926402506,0.092276943733057,29.061841736119295,28.700116116685713,0.0225646453024885,0.038762900510204,0.0026930537344558,True,27.0,21.0,32.0,pass_all,5.0,9.8,True
