,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
69,GHGSat-AV,2,70.0,2022-11-02,16:41:12,False,True,,,,1-sigma,,GH-1,True
70,GHGSat-AV,2,71.0,2022-11-02,16:45:19,False,True,,,,1-sigma,,GH-1,True
71,GHGSat-AV,2,72.0,2022-11-02,16:48:21,False,True,,,,1-sigma,,GH-1,True
72,GHGSat-AV,2,73.0,2022-11-02,16:52:28,False,True,,,,1-sigma,,GH-1,True
73,GHGSat-AV,2,74.0,2022-11-02,16:55:37,False,True,,,,1-sigma,,GH-1,True
74,GHGSat-AV,2,75.0,2022-11-02,16:49:24,False,True,,,,1-sigma,,GH-1,True
75,GHGSat-AV,2,76.0,2022-11-02,17:02:30,True,True,18.0,22.0,14.0,1-sigma,2.452,GH-1,True
76,GHGSat-AV,2,77.0,2022-11-02,17:06:32,True,True,12.0,15.0,10.0,1-sigma,1.993,GH-1,True
77,GHGSat-AV,2,78.0,2022-11-02,17:09:44,True,True,16.0,19.0,12.0,1-sigma,3.005,GH-1,True
78,GHGSat-AV,2,79.0,2022-11-02,17:13:43,True,True,32.0,39.0,26.0,1-sigma,2.512,GH-1,True
79,GHGSat-AV,2,80.0,2022-11-02,17:17:02,True,True,39.0,47.0,31.0,1-sigma,2.436,GH-1,True
80,GHGSat-AV,2,81.0,2022-11-02,17:21:04,True,True,32.0,39.0,26.0,1-sigma,1.405,GH-1,True
81,GHGSat-AV,2,82.0,2022-11-02,17:24:10,True,True,23.0,27.0,18.0,1-sigma,0.88,GH-1,True
82,GHGSat-AV,2,83.0,2022-11-02,17:28:31,False,False,,,,1-sigma,,GH-5,False
83,GHGSat-AV,2,84.0,2022-11-02,17:37:34,True,True,51.0,62.0,41.0,1-sigma,5.064,GH-2,True
84,GHGSat-AV,2,85.0,2022-11-02,17:41:49,True,True,31.0,37.0,24.0,1-sigma,3.758,GH-2,True
85,GHGSat-AV,2,86.0,2022-11-02,17:45:12,True,True,48.0,58.0,38.0,1-sigma,5.139,GH-1,True
86,GHGSat-AV,2,87.0,2022-11-02,17:49:36,True,True,452.0,542.0,361.0,1-sigma,3.956,GH-2,True
87,GHGSat-AV,2,88.0,2022-11-02,17:52:40,True,True,543.0,651.0,434.0,1-sigma,5.728,GH-2,True
88,GHGSat-AV,2,89.0,2022-11-02,18:05:00,True,False,,,,1-sigma,,GH-3,True
89,GHGSat-AV,2,90.0,2022-11-04,16:43:14,True,True,14.0,17.0,12.0,1-sigma,0.975,GH-1,True
90,GHGSat-AV,2,91.0,2022-11-04,16:47:43,True,True,11.0,13.0,9.0,1-sigma,1.626,GH-1,True
91,GHGSat-AV,2,92.0,2022-11-04,16:51:24,True,True,12.0,14.0,9.0,1-sigma,1.069,GH-2,True
92,GHGSat-AV,2,93.0,2022-11-04,16:54:57,True,True,9.0,11.0,7.0,1-sigma,1.846,GH-1,True
93,GHGSat-AV,2,94.0,2022-11-04,16:58:47,True,True,442.0,530.0,354.0,1-sigma,0.924,GH-1,True
94,GHGSat-AV,2,95.0,2022-11-04,17:02:21,True,True,491.0,590.0,393.0,1-sigma,0.944,GH-1,True
95,GHGSat-AV,2,96.0,2022-11-04,17:06:31,True,False,,,,1-sigma,0.732,GH-4,False
96,GHGSat-AV,2,97.0,2022-11-04,17:10:14,True,True,10.0,12.0,8.0,1-sigma,0.601,GH-1,True
97,GHGSat-AV,2,98.0,2022-11-04,17:14:19,True,False,,,,1-sigma,,GH-4,False
98,GHGSat-AV,2,99.0,2022-11-04,17:17:58,True,True,21.0,25.0,17.0,1-sigma,0.988,GH-1,True
99,GHGSat-AV,2,100.0,2022-11-04,17:21:57,True,True,9.0,11.0,7.0,1-sigma,0.814,GH-1,True
100,GHGSat-AV,2,101.0,2022-11-04,17:25:49,True,True,35.0,42.0,28.0,1-sigma,1.395,GH-1,True
101,GHGSat-AV,2,102.0,2022-11-04,17:29:48,True,True,25.0,30.0,20.0,1-sigma,1.67,GH-1,True
102,GHGSat-AV,2,103.0,2022-11-04,17:33:34,True,True,5.0,6.0,4.0,1-sigma,1.027,GH-1,True
103,GHGSat-AV,2,104.0,2022-11-04,17:37:37,True,True,25.0,30.0,20.0,1-sigma,1.117,GH-1,True
104,GHGSat-AV,2,105.0,2022-11-04,17:41:28,True,True,24.0,29.0,19.0,1-sigma,1.062,GH-1,True
105,GHGSat-AV,2,106.0,2022-11-04,17:45:44,True,True,22.0,26.0,17.0,1-sigma,1.608,GH-1,True
106,GHGSat-AV,2,107.0,2022-11-04,17:50:16,True,True,19.0,23.0,15.0,1-sigma,1.302,GH-1,True
107,GHGSat-AV,2,108.0,2022-11-04,17:54:42,True,True,43.0,51.0,34.0,1-sigma,1.663,GH-1,True
108,GHGSat-AV,2,109.0,2022-11-04,17:58:45,True,True,29.0,35.0,24.0,1-sigma,1.038,GH-1,True
109,GHGSat-AV,2,110.0,2022-11-04,18:02:02,True,True,55.0,66.0,44.0,1-sigma,1.237,GH-1,True
110,GHGSat-AV,2,111.0,2022-11-04,18:05:09,True,True,38.0,46.0,31.0,1-sigma,1.292,GH-1,True
111,GHGSat-AV,2,112.0,2022-11-04,18:09:14,True,True,45.0,54.0,36.0,1-sigma,1.24,GH-1,True
112,GHGSat-AV,2,113.0,2022-11-04,18:12:39,True,True,78.0,93.0,62.0,1-sigma,1.15,GH-1,True
113,GHGSat-AV,2,114.0,2022-11-04,18:16:51,True,True,111.0,134.0,89.0,1-sigma,1.234,GH-1,True
114,GHGSat-AV,2,115.0,2022-11-04,18:20:13,True,True,50.0,61.0,40.0,1-sigma,0.884,GH-1,True
115,GHGSat-AV,2,116.0,2022-11-04,18:23:36,True,True,43.0,51.0,34.0,1-sigma,0.663,GH-1,True
116,GHGSat-AV,2,117.0,2022-11-04,18:26:37,True,True,78.0,94.0,62.0,1-sigma,1.454,GH-1,True
117,GHGSat-AV,2,118.0,2022-11-04,18:30:13,True,True,58.0,69.0,46.0,1-sigma,1.22,GH-1,True
118,GHGSat-AV,2,119.0,2022-11-04,18:33:30,True,True,52.0,63.0,42.0,1-sigma,1.557,GH-1,True
119,GHGSat-AV,2,120.0,2022-11-04,18:37:13,True,True,60.0,72.0,48.0,1-sigma,1.619,GH-1,True
120,GHGSat-AV,2,121.0,2022-11-04,18:40:17,True,True,43.0,51.0,34.0,1-sigma,2.08,GH-1,True
121,GHGSat-AV,2,122.0,2022-11-04,18:44:06,True,True,49.0,59.0,39.0,1-sigma,1.479,GH-1,True
122,GHGSat-AV,2,123.0,2022-11-04,18:47:09,True,True,32.0,39.0,26.0,1-sigma,1.538,GH-1,True
123,GHGSat-AV,2,124.0,2022-11-04,18:50:53,True,True,21.0,25.0,17.0,1-sigma,1.705,GH-1,True
124,GHGSat-AV,2,125.0,2022-11-04,18:54:21,True,True,33.0,39.0,26.0,1-sigma,1.504,GH-1,True
125,GHGSat-AV,2,126.0,2022-11-04,18:58:30,True,True,84.0,101.0,67.0,1-sigma,2.254,GH-1,True
126,GHGSat-AV,2,127.0,2022-11-04,19:01:56,True,True,92.0,110.0,74.0,1-sigma,1.815,GH-1,True
127,GHGSat-AV,2,128.0,2022-11-04,19:05:35,True,True,76.0,92.0,61.0,1-sigma,1.436,GH-1,True
128,GHGSat-AV,2,129.0,2022-11-04,19:09:00,True,True,67.0,81.0,54.0,1-sigma,1.854,GH-1,True
129,GHGSat-AV,2,130.0,2022-11-04,19:13:18,True,True,57.0,69.0,46.0,1-sigma,2.38,GH-1,True
130,GHGSat-AV,2,131.0,2022-11-04,19:17:06,True,True,49.0,59.0,39.0,1-sigma,1.367,GH-1,True
131,GHGSat-AV,2,132.0,2022-11-04,19:21:16,True,True,77.0,93.0,62.0,1-sigma,1.295,GH-1,True
132,GHGSat-AV,2,133.0,2022-11-04,19:24:21,True,True,33.0,40.0,27.0,1-sigma,2.458,GH-1,True
133,GHGSat-AV,2,134.0,2022-11-04,19:27:59,True,True,72.0,87.0,58.0,1-sigma,1.906,GH-1,True
134,GHGSat-AV,2,135.0,2022-11-04,19:31:20,True,True,62.0,74.0,50.0,1-sigma,1.14,GH-1,True
135,GHGSat-AV,2,136.0,2022-11-04,19:35:06,True,True,74.0,89.0,59.0,1-sigma,1.541,GH-1,True
136,GHGSat-AV,2,137.0,2022-11-04,19:38:24,True,True,61.0,73.0,49.0,1-sigma,0.987,GH-1,True
137,GHGSat-AV,2,138.0,2022-11-04,19:41:54,True,True,26.0,31.0,21.0,1-sigma,0.932,GH-1,True
138,GHGSat-AV,2,139.0,2022-11-04,19:45:24,True,True,48.0,58.0,38.0,1-sigma,0.999,GH-1,True
139,GHGSat-AV,2,140.0,2022-11-04,19:48:52,True,True,111.0,133.0,89.0,1-sigma,3.093,GH-1,True
140,GHGSat-AV,2,141.0,2022-11-04,19:52:20,True,True,80.0,97.0,64.0,1-sigma,2.277,GH-1,True
141,GHGSat-AV,2,142.0,2022-11-04,19:55:53,True,True,77.0,92.0,62.0,1-sigma,2.615,GH-1,True
142,GHGSat-AV,2,143.0,2022-11-04,19:59:19,True,True,56.0,67.0,45.0,1-sigma,3.125,GH-1,True
143,GHGSat-AV,2,144.0,2022-11-04,20:03:24,True,True,87.0,105.0,70.0,1-sigma,3.791,GH-1,True
144,GHGSat-AV,2,145.0,2022-11-04,20:06:38,True,True,74.0,89.0,59.0,1-sigma,2.931,GH-1,True
145,GHGSat-AV,2,146.0,2022-11-04,20:10:23,True,True,125.0,150.0,100.0,1-sigma,2.647,GH-1,True
