,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,QC_lax,UnblindingStage,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
144,NJU,EnMap,4,1,1,11/13/22 0:00,19:02:08,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,SE,SE,1,11/13/22 19:02,11/13/22 19:02,11/13/22 18:57,0,0,,,,,
145,NJU,EnMap,1,1,1,11/16/22 0:00,18:40:50,18:40:00,18:41:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_EnMAP.xlsx,OK,OK,1,11/16/22 18:40,11/16/22 18:40,11/16/22 18:35,1148.88996,15.38034439,1.465420867,0.950938875,0.001265674,1092.524126,14.76378855
146,NJU,EnMap,5,1,1,11/20/22 0:00,18:44:37,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,SE,SE,1,11/20/22 18:44,11/20/22 18:44,11/20/22 18:39,0,0,,,,,
147,NJU,EnMap,2,1,1,11/24/22 0:00,18:48:24,18:48:00,18:49:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_GF5-02-AHSI.xlsx,OK,OK,1,11/24/22 18:48,11/24/22 18:48,11/24/22 18:43,0,0,,,,,
148,NJU,GF5,1,1,1,9/18/22 0:00,18:19:41,18:19:00,18:20:00,,Methane,0,0,0,,0,0,0,,223,,,2022_DataReporting_GF5-02-AHSI.xlsx,OK,OK,1,9/18/22 18:19,9/18/22 18:19,9/18/22 18:14,0,0,,,,,
149,NJU,GF5,2,1,1,11/15/22 0:00,18:21:44,18:21:00,18:22:00,,Methane,1240,1735,744,0.4,1.341,1.7915,0.8905,0.2,,,,2022_DataReporting_HJ-2B-HSI.xlsx,OK,OK,1,11/15/22 18:21,11/15/22 18:21,11/15/22 18:16,1094.809164,695.7815869,1.399738354,0.950938875,0.00093238,1041.096595,661.6478858
150,NJU,HJ2B,1,1,1,11/5/22 0:00,18:49:04,18:49:00,18:50:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,11/5/22 18:49,11/5/22 18:49,11/5/22 18:44,0,0,,,,,
151,NJU,LandSat,1,1,1,10/10/22 0:00,17:58:22,17:58:00,17:59:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,10/10/22 17:58,10/10/22 17:58,10/10/22 17:53,0,0,0,0.936358125,0,0,0
152,NJU,LandSat,2,1,1,10/17/22 0:00,18:04:33,18:04:00,18:05:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,10/17/22 18:04,10/17/22 18:04,10/17/22 17:59,0,0,0,0.9390905,0,0,0
153,NJU,LandSat,11,1,1,10/18/22 17:58,17:58:14,,,,,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,SE,1,10/18/22 17:58,10/18/22 17:58,10/18/22 17:53,0,0,0,0.9390905,0,0,0
