,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
12,GHGSat,GHGSat CX,,1,1.0,2022-10-22 17:02:13,17:02:13,Excluded,Excluded,Excluded,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Stanford cancelled; troubleshooting system pressure,,SE,10/22/2022 17:02:13,2022-10-22 17:02:13,2022-10-22 16:57:13,0.0,0.0,,,,,
13,GHGSat,GHGSat CX,,1,1.0,2022-10-28 20:54:01,20:54:01,NT,NT,NT,Methane,NT,NT,NT,NT,NT,NT,NT,NT,NT,,Instrument not tasked; Stanford conducted release,,NT,10/28/2022 20:54:01,2022-10-28 20:54:01,2022-10-28 20:49:01,116.96123999999999,0.24730408238417625,0.14918525510204078,0.9502938750000001,0.0013617132208483,111.147549984405,0.3173252376424961
14,GHGSat,GHGSat CX,Db79065-1,1,1.0,2022-11-08 20:51:44,2022-11-08 20:51:44,,,,Methane,496,669.57,322.43,0.35,4.63,,,,,,,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OK,11/08/2022 20:51:44,2022-11-08 20:51:44,2022-11-08 20:46:44,421.37934,0.9931689245923492,0.5374736479591837,0.9533701250000002,0.0013196138560831,401.7304740482175,1.2117364221723055
15,GHGSat,GHGSat CX,LbCV065-2,1,1.0,2022-11-14 00:00:00,2022-11-14 20:54:51,,,,Methane,,,,,,,,,,,Thin Clouds throughout the observation make emission detection impossible,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,11/14/2022 20:54:51,2022-11-14 20:54:51,2022-11-14 20:49:51,124.51474799999998,0.14837770105342493,0.15881983163265304,0.9538941249999999,0.0020321852923637996,118.77388659305551,0.3271265667186966
16,GHGSat,GHGSat CX,DbE8065-3,1,1.0,2022-11-16 00:00:00,2022-11-16 20:57:40,,,,Methane,0,,,,,,,,,,No Emissions Detected,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OK,11/16/2022 20:57:40,2022-11-16 20:57:40,2022-11-16 20:52:40,0.0,0.0,0.0,0.9509388750000002,0.0,0.0,0.0
17,GHGSat,GHGSat CX,-bHI065-4,1,1.0,2022-11-21 00:00:00,2022-11-21 16:55:38,,,,Methane,,,,,,,,,,,Single event upset onboard the Payload – Observation was not taken,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,IM,11/21/2022 16:55:38,2022-11-21 16:55:38,2022-11-21 16:50:38,626.3285999999999,1.7934368977899724,0.7988885204081633,0.9411206250000002,0.0009277114651117998,589.4507634873751,1.9369321630713645
18,GHGSat,GHGSat CX,LbK6065-5,1,1.0,2022-11-22 00:00:00,2022-11-22 21:00:13,,,,Methane,,,,,,,,,,,"Thin clouds pass over the release site, severely reducing instrument sensitivity.",DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,11/22/2022 21:00:13,2022-11-22 21:00:13,2022-11-22 20:55:13,242.49799199999998,0.46324509798307806,0.30930866326530615,0.9411206250000002,0.0009277114651117998,228.21986179228503,0.570453697070075
19,GHGSat,GHGSat CX,-bOH065-6,1,1.0,2022-11-28 00:00:00,2022-11-28 16:59:19,,,,Methane,,,,,,,,,,,Fully Overcast,DataReportingTemplate_AerialAppendix_GHGSat DATA.SAT_Stage1_1.xlsx,OE,11/28/2022 16:59:19,2022-11-28 16:59:19,2022-11-28 16:54:19,140.976516,0.13441987783007736,0.17981698469387755,0.9422685000000002,0.0009951174972501003,132.83773026654598,0.25383450219831455
20,Kayrros,EnMap,1,1,1.0,2022-11-12 00:00:00,18:37:00,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,11/12/2022 18:37:00,2022-11-12 18:37:00,2022-11-12 18:32:00,0.0,0.0,,,,,
21,Kayrros,EnMap,2,1,1.0,2022-11-13 00:00:00,19:02:08,,,,Methane,0,,,,,,,,,,,Kayrros_2022_Full_Blind_EnMAP.xlsx,OK,11/13/2022 19:02:08,2022-11-13 19:02:08,2022-11-13 18:57:08,0.0,0.0,,,,,
