,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,kgh_ch4_30,kgh_ch4_60,kgh_ch4_90,methane_fraction,meter,qc_discard,qc_discard_strict,altitude_meters
105,2022-11-04 17:10:14,97.0,0,7.745922581,7.749177049,7.749886154,7.590487734,7.593676896,7.594371772,0.979933333,bc,1.0,1.0,7889.583333
106,2022-11-04 17:14:19,98.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.979933333,bc,1.0,1.0,7990.729167
107,2022-11-04 17:17:58,99.0,0,12.79041677,12.7720623,12.76108615,12.53375574,12.51576958,12.50501369,0.979933333,bc,1.0,1.0,7878.541667
108,2022-11-04 17:21:57,100.0,0,12.68291613,12.69040131,12.70008791,12.42841228,12.43574726,12.44523948,0.979933333,bc,0.0,0.0,7958.787879
109,2022-11-04 17:25:49,101.0,0,23.45957419,23.46456393,23.47351912,22.98881874,22.99370835,23.00248384,0.979933333,bc,0.0,1.0,7926.041667
110,2022-11-04 17:29:48,102.0,0,23.35631226,23.36806033,23.37857407,22.88762893,22.89914125,22.90944401,0.979933333,bc,0.0,0.0,7989.166667
111,2022-11-04 17:33:34,103.0,0,5.605072258,5.606781639,5.611794725,5.492597141,5.494272221,5.499184711,0.979933333,bc,1.0,1.0,7949.305556
112,2022-11-04 17:37:37,104.0,1,34.6851871,34.67932525,34.68450462,33.98917101,33.98342679,33.98850222,0.979933333,bc,0.0,1.0,7996.284722
113,2022-11-04 17:41:28,105.0,0,19.29545419,19.30687672,19.32107341,18.90825875,18.91945206,18.93336387,0.979933333,bc,1.0,1.0,7962.395833
114,2022-11-04 17:45:44,106.0,0,19.15602968,19.16239869,19.1675789,18.77163202,18.77787322,18.78294948,0.979933333,bc,0.0,0.0,8007.291667
115,2022-11-04 17:50:16,107.0,0,19.08227613,19.08440852,19.08513495,18.69935845,18.70144806,18.7021599,0.979933333,bc,0.0,0.0,8001.837121
116,2022-11-04 17:54:42,108.0,1,31.12759742,31.12751803,31.13955297,30.5029703,30.5028925,30.51468594,0.979933333,bc,0.0,0.0,7956.208333
117,2022-11-04 17:58:45,109.0,1,31.11535742,31.10698623,31.10665451,30.49097591,30.48277271,30.48244764,0.979933333,bc,0.0,0.0,8067.8125
118,2022-11-04 18:02:02,110.0,0,37.05108387,37.0195082,36.97461099,36.30759212,36.27665007,36.2326538,0.979933333,bc,1.0,1.0,8005.833333
119,2022-11-04 18:05:09,111.0,0,37.10032258,37.09923934,37.10041319,36.35584277,36.35478127,36.35593156,0.979933333,bc,0.0,0.0,7987.102273
120,2022-11-04 18:09:14,112.0,0,36.97304516,36.97589508,36.97923956,36.23111939,36.23391212,36.23718949,0.979933333,bc,0.0,0.0,7898.263889
121,2022-11-04 18:12:39,113.0,0,65.53451613,65.59341639,65.72005714,64.21945684,64.27717517,64.40127466,0.979933333,mc,1.0,1.0,8059.513889
122,2022-11-04 18:16:51,114.0,0,64.88314839,64.91012459,64.92805714,63.58115988,63.60759476,63.62516746,0.979933333,mc,1.0,1.0,7925.243056
123,2022-11-04 18:20:13,115.0,1,64.68236129,64.67376393,64.6774022,63.38440191,63.37597707,63.37954233,0.979933333,mc,0.0,0.0,8035.075758
124,2022-11-04 18:23:36,116.0,1,64.83809032,64.82006557,64.81123516,63.53700598,63.51934292,63.51068971,0.979933333,mc,0.0,0.0,7923.645833
125,2022-11-04 18:26:37,117.0,0,52.87424516,52.84139016,52.80808352,51.81323531,51.7810396,51.74840131,0.979933333,mc,1.0,1.0,7970.902778
126,2022-11-04 18:30:13,118.0,1,52.97783226,52.95222295,52.92272967,51.91474376,51.88964834,51.86074689,0.979933333,mc,0.0,0.0,8066.666667
127,2022-11-04 18:33:30,119.0,0,41.86532903,41.87779672,41.89972747,41.02523143,41.03744893,41.05893961,0.979933333,mc,0.0,0.0,8096.25
128,2022-11-04 18:37:13,120.0,0,41.88460645,41.87148197,41.86756484,41.04412202,41.0312609,41.02742237,0.979933333,mc,0.0,0.0,8019.583333
129,2022-11-04 18:40:17,121.0,0,41.91340645,41.92070164,41.92085275,41.0723441,41.07949289,41.07964097,0.979933333,mc,0.0,0.0,8073.645833
130,2022-11-04 18:44:06,122.0,1,37.98557419,37.98478033,37.97671648,37.22333034,37.2225524,37.21465037,0.979933333,bc,0.0,1.0,7965.833333
131,2022-11-04 18:47:09,123.0,0,23.42213419,23.44011934,23.47833363,22.95213003,22.96975428,23.00720173,0.979933333,bc,1.0,1.0,8042.916667
132,2022-11-04 18:50:53,124.0,1,23.32481806,23.33295738,23.33754593,22.85676672,22.8647427,22.86923918,0.979933333,bc,0.0,0.0,7927.083333
133,2022-11-04 18:54:21,125.0,0,34.68179613,34.68437705,34.6868822,33.98584809,33.98837722,33.9908321,0.979933333,bc,1.0,1.0,8028.333333
